binomial_name,country,continent,group,year_last_seen,threat_NA,action_NA,red_list_category,threat,threathened,action,actioned
Abutilon pitcairnense,Pitcairn,Oceania,Flowering Plant,2000-2020,NA,NA,Extinct in the Wild,TS,0,EA,0
Abutilon pitcairnense,Pitcairn,Oceania,Flowering Plant,2000-2020,NA,NA,Extinct in the Wild,NSM,0,LWP,1
Abutilon pitcairnense,Pitcairn,Oceania,Flowering Plant,2000-2020,NA,NA,Extinct in the Wild,NSM,0,SM,1
Abutilon pitcairnense,Pitcairn,Oceania,Flowering Plant,2000-2020,NA,NA,Extinct in the Wild,NSM,0,LP,0
Abutilon pitcairnense,Pitcairn,Oceania,Flowering Plant,2000-2020,NA,NA,Extinct in the Wild,NSM,0,RM,1
Abutilon pitcairnense,Pitcairn,Oceania,Flowering Plant,2000-2020,NA,NA,Extinct in the Wild,NSM,0,EA,0
Abutilon pitcairnense,Pitcairn,Oceania,Flowering Plant,2000-2020,NA,NA,Extinct in the Wild,GE,1,LWP,1
Abutilon pitcairnense,Pitcairn,Oceania,Flowering Plant,2000-2020,NA,NA,Extinct in the Wild,GE,1,SM,1
Abutilon pitcairnense,Pitcairn,Oceania,Flowering Plant,2000-2020,NA,NA,Extinct in the Wild,GE,1,LP,0
Abutilon pitcairnense,Pitcairn,Oceania,Flowering Plant,2000-2020,NA,NA,Extinct in the Wild,GE,1,RM,1
Abutilon pitcairnense,Pitcairn,Oceania,Flowering Plant,2000-2020,NA,NA,Extinct in the Wild,GE,1,EA,0
Acaena exigua,United States,North America,Flowering Plant,1980-1999,NA,NA,Extinct,AA,0,LWP,0
Acaena exigua,United States,North America,Flowering Plant,1980-1999,NA,NA,Extinct,AA,0,SM,0
Acaena exigua,United States,North America,Flowering Plant,1980-1999,NA,NA,Extinct,AA,0,LP,0
Acaena exigua,United States,North America,Flowering Plant,1980-1999,NA,NA,Extinct,AA,0,RM,1
Acaena exigua,United States,North America,Flowering Plant,1980-1999,NA,NA,Extinct,AA,0,EA,0
Acaena exigua,United States,North America,Flowering Plant,1980-1999,NA,NA,Extinct,BRU,0,LWP,0
Acaena exigua,United States,North America,Flowering Plant,1980-1999,NA,NA,Extinct,BRU,0,SM,0
Acaena exigua,United States,North America,Flowering Plant,1980-1999,NA,NA,Extinct,BRU,0,LP,0
Acaena exigua,United States,North America,Flowering Plant,1980-1999,NA,NA,Extinct,BRU,0,RM,1
Acaena exigua,United States,North America,Flowering Plant,1980-1999,NA,NA,Extinct,BRU,0,EA,0
Acaena exigua,United States,North America,Flowering Plant,1980-1999,NA,NA,Extinct,RCD,0,LWP,0
Acaena exigua,United States,North America,Flowering Plant,1980-1999,NA,NA,Extinct,RCD,0,SM,0
Acaena exigua,United States,North America,Flowering Plant,1980-1999,NA,NA,Extinct,RCD,0,LP,0
Acaena exigua,United States,North America,Flowering Plant,1980-1999,NA,NA,Extinct,RCD,0,RM,1
Acaena exigua,United States,North America,Flowering Plant,1980-1999,NA,NA,Extinct,RCD,0,EA,0
Acaena exigua,United States,North America,Flowering Plant,1980-1999,NA,NA,Extinct,ISGD,1,LWP,0
Acaena exigua,United States,North America,Flowering Plant,1980-1999,NA,NA,Extinct,ISGD,1,SM,0
Acaena exigua,United States,North America,Flowering Plant,1980-1999,NA,NA,Extinct,ISGD,1,LP,0
Acaena exigua,United States,North America,Flowering Plant,1980-1999,NA,NA,Extinct,ISGD,1,RM,1
Acaena exigua,United States,North America,Flowering Plant,1980-1999,NA,NA,Extinct,ISGD,1,EA,0
Acaena exigua,United States,North America,Flowering Plant,1980-1999,NA,NA,Extinct,EPM,0,LWP,0
Acaena exigua,United States,North America,Flowering Plant,1980-1999,NA,NA,Extinct,EPM,0,SM,0
Acaena exigua,United States,North America,Flowering Plant,1980-1999,NA,NA,Extinct,EPM,0,LP,0
Acaena exigua,United States,North America,Flowering Plant,1980-1999,NA,NA,Extinct,EPM,0,RM,1
Acaena exigua,United States,North America,Flowering Plant,1980-1999,NA,NA,Extinct,EPM,0,EA,0
Acaena exigua,United States,North America,Flowering Plant,1980-1999,NA,NA,Extinct,CC,0,LWP,0
Acaena exigua,United States,North America,Flowering Plant,1980-1999,NA,NA,Extinct,CC,0,SM,0
Acaena exigua,United States,North America,Flowering Plant,1980-1999,NA,NA,Extinct,CC,0,LP,0
Acaena exigua,United States,North America,Flowering Plant,1980-1999,NA,NA,Extinct,CC,0,RM,1
Acaena exigua,United States,North America,Flowering Plant,1980-1999,NA,NA,Extinct,CC,0,EA,0
Acaena exigua,United States,North America,Flowering Plant,1980-1999,NA,NA,Extinct,HID,0,LWP,0
Acaena exigua,United States,North America,Flowering Plant,1980-1999,NA,NA,Extinct,HID,0,SM,0
Acaena exigua,United States,North America,Flowering Plant,1980-1999,NA,NA,Extinct,HID,0,LP,0
Acaena exigua,United States,North America,Flowering Plant,1980-1999,NA,NA,Extinct,HID,0,RM,1
Acaena exigua,United States,North America,Flowering Plant,1980-1999,NA,NA,Extinct,HID,0,EA,0
Acaena exigua,United States,North America,Flowering Plant,1980-1999,NA,NA,Extinct,P,0,LWP,0
Acaena exigua,United States,North America,Flowering Plant,1980-1999,NA,NA,Extinct,P,0,SM,0
Acaena exigua,United States,North America,Flowering Plant,1980-1999,NA,NA,Extinct,P,0,LP,0
Acaena exigua,United States,North America,Flowering Plant,1980-1999,NA,NA,Extinct,P,0,RM,1
Acaena exigua,United States,North America,Flowering Plant,1980-1999,NA,NA,Extinct,P,0,EA,0
Acaena exigua,United States,North America,Flowering Plant,1980-1999,NA,NA,Extinct,TS,0,LWP,0
Acaena exigua,United States,North America,Flowering Plant,1980-1999,NA,NA,Extinct,TS,0,SM,0
Acaena exigua,United States,North America,Flowering Plant,1980-1999,NA,NA,Extinct,TS,0,LP,0
Acaena exigua,United States,North America,Flowering Plant,1980-1999,NA,NA,Extinct,TS,0,RM,1
Acaena exigua,United States,North America,Flowering Plant,1980-1999,NA,NA,Extinct,TS,0,EA,0
Acaena exigua,United States,North America,Flowering Plant,1980-1999,NA,NA,Extinct,NSM,0,LWP,0
Acaena exigua,United States,North America,Flowering Plant,1980-1999,NA,NA,Extinct,NSM,0,SM,0
Acaena exigua,United States,North America,Flowering Plant,1980-1999,NA,NA,Extinct,NSM,0,LP,0
Acaena exigua,United States,North America,Flowering Plant,1980-1999,NA,NA,Extinct,NSM,0,RM,1
Acaena exigua,United States,North America,Flowering Plant,1980-1999,NA,NA,Extinct,NSM,0,EA,0
Acaena exigua,United States,North America,Flowering Plant,1980-1999,NA,NA,Extinct,GE,0,LWP,0
Acaena exigua,United States,North America,Flowering Plant,1980-1999,NA,NA,Extinct,GE,0,SM,0
Acaena exigua,United States,North America,Flowering Plant,1980-1999,NA,NA,Extinct,GE,0,LP,0
Acaena exigua,United States,North America,Flowering Plant,1980-1999,NA,NA,Extinct,GE,0,RM,1
Acaena exigua,United States,North America,Flowering Plant,1980-1999,NA,NA,Extinct,GE,0,EA,0
Acalypha dikuluwensis,Congo,Africa,Flowering Plant,1940-1959,NA,1,Extinct,AA,0,LWP,0
Acalypha dikuluwensis,Congo,Africa,Flowering Plant,1940-1959,NA,1,Extinct,AA,0,SM,0
Acalypha dikuluwensis,Congo,Africa,Flowering Plant,1940-1959,NA,1,Extinct,AA,0,LP,0
Acalypha dikuluwensis,Congo,Africa,Flowering Plant,1940-1959,NA,1,Extinct,AA,0,RM,0
Acalypha dikuluwensis,Congo,Africa,Flowering Plant,1940-1959,NA,1,Extinct,AA,0,EA,0
Acalypha dikuluwensis,Congo,Africa,Flowering Plant,1940-1959,NA,1,Extinct,BRU,0,LWP,0
Acalypha dikuluwensis,Congo,Africa,Flowering Plant,1940-1959,NA,1,Extinct,BRU,0,SM,0
Acalypha dikuluwensis,Congo,Africa,Flowering Plant,1940-1959,NA,1,Extinct,BRU,0,LP,0
Acalypha dikuluwensis,Congo,Africa,Flowering Plant,1940-1959,NA,1,Extinct,BRU,0,RM,0
Acalypha dikuluwensis,Congo,Africa,Flowering Plant,1940-1959,NA,1,Extinct,BRU,0,EA,0
Acalypha dikuluwensis,Congo,Africa,Flowering Plant,1940-1959,NA,1,Extinct,RCD,0,LWP,0
Acalypha dikuluwensis,Congo,Africa,Flowering Plant,1940-1959,NA,1,Extinct,RCD,0,SM,0
Acalypha dikuluwensis,Congo,Africa,Flowering Plant,1940-1959,NA,1,Extinct,RCD,0,LP,0
Acalypha dikuluwensis,Congo,Africa,Flowering Plant,1940-1959,NA,1,Extinct,RCD,0,RM,0
Acalypha dikuluwensis,Congo,Africa,Flowering Plant,1940-1959,NA,1,Extinct,RCD,0,EA,0
Acalypha dikuluwensis,Congo,Africa,Flowering Plant,1940-1959,NA,1,Extinct,ISGD,0,LWP,0
Acalypha dikuluwensis,Congo,Africa,Flowering Plant,1940-1959,NA,1,Extinct,ISGD,0,SM,0
Acalypha dikuluwensis,Congo,Africa,Flowering Plant,1940-1959,NA,1,Extinct,ISGD,0,LP,0
Acalypha dikuluwensis,Congo,Africa,Flowering Plant,1940-1959,NA,1,Extinct,ISGD,0,RM,0
Acalypha dikuluwensis,Congo,Africa,Flowering Plant,1940-1959,NA,1,Extinct,ISGD,0,EA,0
Acalypha dikuluwensis,Congo,Africa,Flowering Plant,1940-1959,NA,1,Extinct,EPM,1,LWP,0
Acalypha dikuluwensis,Congo,Africa,Flowering Plant,1940-1959,NA,1,Extinct,EPM,1,SM,0
Acalypha dikuluwensis,Congo,Africa,Flowering Plant,1940-1959,NA,1,Extinct,EPM,1,LP,0
Acalypha dikuluwensis,Congo,Africa,Flowering Plant,1940-1959,NA,1,Extinct,EPM,1,RM,0
Acalypha dikuluwensis,Congo,Africa,Flowering Plant,1940-1959,NA,1,Extinct,EPM,1,EA,0
Acalypha dikuluwensis,Congo,Africa,Flowering Plant,1940-1959,NA,1,Extinct,CC,0,LWP,0
Acalypha dikuluwensis,Congo,Africa,Flowering Plant,1940-1959,NA,1,Extinct,CC,0,SM,0
Acalypha dikuluwensis,Congo,Africa,Flowering Plant,1940-1959,NA,1,Extinct,CC,0,LP,0
Acalypha dikuluwensis,Congo,Africa,Flowering Plant,1940-1959,NA,1,Extinct,CC,0,RM,0
Acalypha dikuluwensis,Congo,Africa,Flowering Plant,1940-1959,NA,1,Extinct,CC,0,EA,0
Acalypha dikuluwensis,Congo,Africa,Flowering Plant,1940-1959,NA,1,Extinct,HID,0,LWP,0
Acalypha dikuluwensis,Congo,Africa,Flowering Plant,1940-1959,NA,1,Extinct,HID,0,SM,0
Acalypha dikuluwensis,Congo,Africa,Flowering Plant,1940-1959,NA,1,Extinct,HID,0,LP,0
Acalypha dikuluwensis,Congo,Africa,Flowering Plant,1940-1959,NA,1,Extinct,HID,0,RM,0
Acalypha dikuluwensis,Congo,Africa,Flowering Plant,1940-1959,NA,1,Extinct,HID,0,EA,0
Acalypha dikuluwensis,Congo,Africa,Flowering Plant,1940-1959,NA,1,Extinct,P,0,LWP,0
Acalypha dikuluwensis,Congo,Africa,Flowering Plant,1940-1959,NA,1,Extinct,P,0,SM,0
Acalypha dikuluwensis,Congo,Africa,Flowering Plant,1940-1959,NA,1,Extinct,P,0,LP,0
Acalypha dikuluwensis,Congo,Africa,Flowering Plant,1940-1959,NA,1,Extinct,P,0,RM,0
Acalypha dikuluwensis,Congo,Africa,Flowering Plant,1940-1959,NA,1,Extinct,P,0,EA,0
Acalypha dikuluwensis,Congo,Africa,Flowering Plant,1940-1959,NA,1,Extinct,TS,0,LWP,0
Acalypha dikuluwensis,Congo,Africa,Flowering Plant,1940-1959,NA,1,Extinct,TS,0,SM,0
Acalypha dikuluwensis,Congo,Africa,Flowering Plant,1940-1959,NA,1,Extinct,TS,0,LP,0
Acalypha dikuluwensis,Congo,Africa,Flowering Plant,1940-1959,NA,1,Extinct,TS,0,RM,0
Acalypha dikuluwensis,Congo,Africa,Flowering Plant,1940-1959,NA,1,Extinct,TS,0,EA,0
Acalypha dikuluwensis,Congo,Africa,Flowering Plant,1940-1959,NA,1,Extinct,NSM,0,LWP,0
Acalypha dikuluwensis,Congo,Africa,Flowering Plant,1940-1959,NA,1,Extinct,NSM,0,SM,0
Acalypha dikuluwensis,Congo,Africa,Flowering Plant,1940-1959,NA,1,Extinct,NSM,0,LP,0
Acalypha dikuluwensis,Congo,Africa,Flowering Plant,1940-1959,NA,1,Extinct,NSM,0,RM,0
Acalypha dikuluwensis,Congo,Africa,Flowering Plant,1940-1959,NA,1,Extinct,NSM,0,EA,0
Acalypha dikuluwensis,Congo,Africa,Flowering Plant,1940-1959,NA,1,Extinct,GE,0,LWP,0
Acalypha dikuluwensis,Congo,Africa,Flowering Plant,1940-1959,NA,1,Extinct,GE,0,SM,0
Acalypha dikuluwensis,Congo,Africa,Flowering Plant,1940-1959,NA,1,Extinct,GE,0,LP,0
Acalypha dikuluwensis,Congo,Africa,Flowering Plant,1940-1959,NA,1,Extinct,GE,0,RM,0
Acalypha dikuluwensis,Congo,Africa,Flowering Plant,1940-1959,NA,1,Extinct,GE,0,EA,0
Acalypha rubrinervis,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,Before 1900,1,1,Extinct,AA,1,LWP,0
Acalypha rubrinervis,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,Before 1900,1,1,Extinct,AA,1,SM,0
Acalypha rubrinervis,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,Before 1900,1,1,Extinct,AA,1,LP,0
Acalypha rubrinervis,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,Before 1900,1,1,Extinct,AA,1,RM,0
Acalypha rubrinervis,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,Before 1900,1,1,Extinct,AA,1,EA,0
Acalypha rubrinervis,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,Before 1900,1,1,Extinct,BRU,1,LWP,0
Acalypha rubrinervis,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,Before 1900,1,1,Extinct,BRU,1,SM,0
Acalypha rubrinervis,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,Before 1900,1,1,Extinct,BRU,1,LP,0
Acalypha rubrinervis,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,Before 1900,1,1,Extinct,BRU,1,RM,0
Acalypha rubrinervis,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,Before 1900,1,1,Extinct,BRU,1,EA,0
Acalypha rubrinervis,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,Before 1900,1,1,Extinct,RCD,0,LWP,0
Acalypha rubrinervis,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,Before 1900,1,1,Extinct,RCD,0,SM,0
Acalypha rubrinervis,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,Before 1900,1,1,Extinct,RCD,0,LP,0
Acalypha rubrinervis,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,Before 1900,1,1,Extinct,RCD,0,RM,0
Acalypha rubrinervis,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,Before 1900,1,1,Extinct,RCD,0,EA,0
Acalypha rubrinervis,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,Before 1900,1,1,Extinct,ISGD,1,LWP,0
Acalypha rubrinervis,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,Before 1900,1,1,Extinct,ISGD,1,SM,0
Acalypha rubrinervis,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,Before 1900,1,1,Extinct,ISGD,1,LP,0
Acalypha rubrinervis,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,Before 1900,1,1,Extinct,ISGD,1,RM,0
Acalypha rubrinervis,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,Before 1900,1,1,Extinct,ISGD,1,EA,0
Acalypha rubrinervis,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,Before 1900,1,1,Extinct,EPM,0,LWP,0
Acalypha rubrinervis,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,Before 1900,1,1,Extinct,EPM,0,SM,0
Acalypha rubrinervis,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,Before 1900,1,1,Extinct,EPM,0,LP,0
Acalypha rubrinervis,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,Before 1900,1,1,Extinct,EPM,0,RM,0
Acalypha rubrinervis,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,Before 1900,1,1,Extinct,EPM,0,EA,0
Acalypha rubrinervis,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,Before 1900,1,1,Extinct,CC,0,LWP,0
Acalypha rubrinervis,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,Before 1900,1,1,Extinct,CC,0,SM,0
Acalypha rubrinervis,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,Before 1900,1,1,Extinct,CC,0,LP,0
Acalypha rubrinervis,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,Before 1900,1,1,Extinct,CC,0,RM,0
Acalypha rubrinervis,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,Before 1900,1,1,Extinct,CC,0,EA,0
Acalypha rubrinervis,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,Before 1900,1,1,Extinct,HID,0,LWP,0
Acalypha rubrinervis,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,Before 1900,1,1,Extinct,HID,0,SM,0
Acalypha rubrinervis,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,Before 1900,1,1,Extinct,HID,0,LP,0
Acalypha rubrinervis,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,Before 1900,1,1,Extinct,HID,0,RM,0
Acalypha rubrinervis,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,Before 1900,1,1,Extinct,HID,0,EA,0
Acalypha rubrinervis,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,Before 1900,1,1,Extinct,P,0,LWP,0
Acalypha rubrinervis,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,Before 1900,1,1,Extinct,P,0,SM,0
Acalypha rubrinervis,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,Before 1900,1,1,Extinct,P,0,LP,0
Acalypha rubrinervis,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,Before 1900,1,1,Extinct,P,0,RM,0
Acalypha rubrinervis,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,Before 1900,1,1,Extinct,P,0,EA,0
Acalypha rubrinervis,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,Before 1900,1,1,Extinct,TS,0,LWP,0
Acalypha rubrinervis,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,Before 1900,1,1,Extinct,TS,0,SM,0
Acalypha rubrinervis,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,Before 1900,1,1,Extinct,TS,0,LP,0
Acalypha rubrinervis,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,Before 1900,1,1,Extinct,TS,0,RM,0
Acalypha rubrinervis,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,Before 1900,1,1,Extinct,TS,0,EA,0
Acalypha rubrinervis,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,Before 1900,1,1,Extinct,NSM,0,LWP,0
Acalypha rubrinervis,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,Before 1900,1,1,Extinct,NSM,0,SM,0
Acalypha rubrinervis,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,Before 1900,1,1,Extinct,NSM,0,LP,0
Acalypha rubrinervis,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,Before 1900,1,1,Extinct,NSM,0,RM,0
Acalypha rubrinervis,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,Before 1900,1,1,Extinct,NSM,0,EA,0
Acalypha rubrinervis,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,Before 1900,1,1,Extinct,GE,0,LWP,0
Acalypha rubrinervis,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,Before 1900,1,1,Extinct,GE,0,SM,0
Acalypha rubrinervis,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,Before 1900,1,1,Extinct,GE,0,LP,0
Acalypha rubrinervis,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,Before 1900,1,1,Extinct,GE,0,RM,0
Acalypha rubrinervis,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,Before 1900,1,1,Extinct,GE,0,EA,0
Acalypha wilderi,Cook Islands,Oceania,Flowering Plant,1920-1939,NA,1,Extinct,AA,1,LWP,0
Acalypha wilderi,Cook Islands,Oceania,Flowering Plant,1920-1939,NA,1,Extinct,AA,1,SM,0
Acalypha wilderi,Cook Islands,Oceania,Flowering Plant,1920-1939,NA,1,Extinct,AA,1,LP,0
Acalypha wilderi,Cook Islands,Oceania,Flowering Plant,1920-1939,NA,1,Extinct,AA,1,RM,0
Acalypha wilderi,Cook Islands,Oceania,Flowering Plant,1920-1939,NA,1,Extinct,AA,1,EA,0
Acalypha wilderi,Cook Islands,Oceania,Flowering Plant,1920-1939,NA,1,Extinct,BRU,0,LWP,0
Acalypha wilderi,Cook Islands,Oceania,Flowering Plant,1920-1939,NA,1,Extinct,BRU,0,SM,0
Acalypha wilderi,Cook Islands,Oceania,Flowering Plant,1920-1939,NA,1,Extinct,BRU,0,LP,0
Acalypha wilderi,Cook Islands,Oceania,Flowering Plant,1920-1939,NA,1,Extinct,BRU,0,RM,0
